tweet,location
So the day has finally come...17 years old. My baby is a young adult and yep...that’s her car. Unfortunately Covid is going to keep her from getting her license until next month (hopefully). Happy birthday… https://t.co/8DWrOuC0D8,New Jersey
"I don’t know if they think he’s a guinea pig, or he thinks they are small dogs. Timon and Pumbaa situation @ Corona del Mar, California https://t.co/9PyI97g0Gz",California
"You can now Book a Appointment online. Just click the link Below
( Due to the Covid19 &amp; City Regulation Restrictions I work only by Appointment. DEPOSIT is Required to Book… https://t.co/UgJndCrHSc",Texas
"Looking into the post-COVID world with hope, grace and positivity!!! Just kidding, I always wanted one of these 'staring into the waters' kinda pic 🤣🤣🤣
.
#throwback #dramaqueen #baltimore… https://t.co/c89C7ZGgti",Maryland
"That was a fun little midlife crisis. But I’m ready to eat ice cream 🍦 again. How’s your pandemic going? @ Palatine, Illinois https://t.co/LkPwza67lm",Illinois
"Hey fishy friends! 

https://t.co/nW8jY7PrJQ has decided to do, to go orders and curbside until further notice. Bare with us as we curve the spread. Please be aware we have been sanitizing and disinfecting long before the pandemic… https://t.co/2MORDRhkTj",South Carolina
The line to get into marshalls at south bay mall @universalhub #pandemic #Covid-19  #nothankyou https://t.co/2jMrX98wBQ,Massachusetts
So grateful for @gallery5830 and @tahoetrunkshow keeping on going during #covid19 making sales while observing strict guidelines to keep our collectors safe ❤️🙏🎨 these bears and cranes found new homes! #artforsale… https://t.co/Uaf7WVvmwV,California
"40 in the time of corona @ Pelham, New York https://t.co/DJ5jZ8CLhW",New York
"NYC Quarantine 2020: Commencing Week 14, Day 92 - That’s All. #NewYorkCity #Queens #Sunnyside #quarantine #3months #patience #covid19 #pandemic #maskselfie #saturday @ New York, New York https://t.co/8uuVN6SKsQ",New York
"Trump insiders say his campaign is falling apart because the Trump is mentally ill and can't accept reality: 'No one wants to get fired, so no one will tell the president* why he’s losing — but maybe that’s OK because none of them understand why'. #SAD!

https://t.co/PlSj5LqM60",District of Columbia
"YIKES!!!
https://t.co/884zbG9BTw… https://t.co/GpSqIrvOxd",California
