tweet,location
We have officially entered Phase 1 of the reopening of NYC! Barbershops are not open as of yet. Barbershops in NYC will reopen in Phase 2 All of our barbers &amp; braid specialist are Covid-19 certified by @chardujardin… https://t.co/f92wE8PcQw,New York
"Check out the new merch at @madnessgames 
Who does your shirts?
https://t.co/JTwZg3o58b

#comics 
#games 
#magicthegathering 
#xmen 
#marvel 
#covid19 
#2020 
#screenprinting @ Madness Games and Comics https://t.co/qjE3EPWKOJ",Texas
"Given today's global health pandemic, fitness, health and a strong immune system are more important than ever before. What are some workouts you and your family are doing to get in shape during this worldwide crisis?… https://t.co/5YD1TLuZBX",Texas
Getting athletes back in the weightroom after an extended (10-14 weeks or more) due to the COviD-19 shutdown is not a time to test 1 rep maxes or try to make up for lost time. We know athletes will have diminished… https://t.co/ivpaBNZyxM,Virginia
"On Monday, the National Bureau of Economic Research (NBER) announced that the U.S. economy is officially in a recession. This did not come as a surprise to many. Everyone realizes that the pandemic shut down the… https://t.co/2YsACEDd1L",Washington
It's still not over in case you forgot or blew it off.  We want to wish Houston rapper @bigRillo92 and frequent #IsiahFactor guest and performer a speedy recovery on his bout with #Covid19. As he says take this… https://t.co/hB1MF9Z6sq,Texas
Corona CA Wed Jun 10th AM Forecast: TODAY Sunny Hi 100 TONIGHT Clear Lo 61,California
Snack time on the trail. #sophiegram #rowdyrobbie #covid19 #getoutside @ Occoquan Reservoir https://t.co/g2UIDYzSpS,Virginia
"Staying safe from COVID and Carol. 
.
.
.
.

#tigerking #ChandlerPT #ChandlerAZ #PhysicalTherapy #chandlerphysicaltherapy #DowntownChandler #GilbertAZ #DowntownGilbert #Rehab #Exercise #Blessed #gochandler #gogilbert… https://t.co/5B9U5xh9ps",Arizona
"Before Covid-19 this was one way we would help our students relax.  🐶🐶
.
Please tag us, DM, or comment how the library can support you through these changing times. 
.
.
#arthurlakeslibrary #mineslibrary… https://t.co/ewUt1h7txx",Colorado
"On Monday, the National Bureau of Economic Research (NBER) announced that the U.S. economy is officially in a recession. This did not come as a surprise to many. Everyone realizes that the pandemic shut down the… https://t.co/gdlXOnLsQM",South Carolina
"My office spot for the last 3 months. #readytogetout #covid19 #stayhome #stayhealthy @ Murfreesboro, Tennessee https://t.co/NzLGPQ7EmO",Tennessee
Glad the Corona has subsided enough to where training can proceed. So glad I decided to get back into Jiu Jitsu. Feels great to get a workout without traditional boring methods. Plus GB makes me wanna be a better… https://t.co/n56cTZN9IS,Missouri
"👋🏻 HAPPY Wednesday!
With the #COVID_19 virus still out there, hand sanitizer has become a necessity! Wouldn't you agree? 😀
🌱@calmbywellness has medical grade hand sanitizers in stock and ready to ship!
💧Their… https://t.co/VY08rw3fUU",
"Where to next? Fitting in so many ways right now. The world is not doing well right now- these are trying times to say the least. 
Justice, equality, ecology, voting rights, covid---- respect, kindness, and civility… https://t.co/1Xtm2iy3SF",Maryland
"In this depressing era of #Pandemic and #Protest, Arnie says take it one step at a time… #SelfCare is important to #Motivation &amp; #Focus as you make the impossible possible. https://t.co/7agThYqx7y",District of Columbia
"Who needs a #job? 

#NYC #factory in #SouthWilliamsburg off the #GTrain needs #workers!  Will train, starting next week, earning $15-18/hour, #COVID19-safe, full-time! 

#PeopleHiringPeople
#AltruismForTheWin… https://t.co/y8dr1d3WnA",New York
"#aboutyesterday HE DID IT...__jmarsh__ GRADUATED from #mics High School and I couldn't be more PROUD! Thanks to COVID-19 and NC guidelines, his high graduation was non-traditional and… https://t.co/TRie5Eel7r",North Carolina
"When you name your adopted ""Covid"" pet duck, Earl Pierre, of course he steals the Croissant out of your hand!!🤪

 #covidtimes #hardtimesforeveryone #ducksneedtoeattoo 
#earlpierre #coissants #highlightofmydayslately… https://t.co/5UlV7qt2KX",Louisiana
New Cover💙 @LampoonPH with alexandrajacob I shout this story in early this year February. We have never expected this war of Covid19 would take over the world life. It was prediction gown to shoot this pic with… https://t.co/nI8Al3A2ZO,New York
"#NYC #Covid19 #Rona #BigApple #Pandemic #DonsolisImages @ New York, New York https://t.co/KtnVo944hP",New York
"Avoiding Covid and taking names. (@ Hogan Tennis Center in San Diego, CA) https://t.co/p3YSbXG4VV",California
"I'm at CR 91 &amp; I-15 Freeway Interchange in Corona, CA https://t.co/YwILegXfHv",California
We have officially entered Phase 1 of the reopening of NYC! Barbershops are not open as of yet. Barbershops in NYC will reopen in Phase 2 All of our barbers &amp; braid specialist are Covid-19 certified by @chardujardin… https://t.co/it9LjDGLD9,New York
https://t.co/S4oWTeAfVB #Coronavirus #CoronavirusPandemic #COVID19 #Health Coronavirus Impacts Home Sales https://t.co/MB2Q3ODqwW | https://t.co/S4oWTeAfVB,California
Best Practices of Addressing COVID-19 Health Disparities  https://t.co/euDuKV1Lu0,New York
Lenoir County reports ninth COVID-19 death Wednesday  https://t.co/qOZV720Iqm,New York
"NEW FUNKO POPS IN STOCK!
HELLO KITTY X MY HERO ACADEMIA!
X-MENS GAMBIT! INUYASHA! 
PLUS some really cool mask on stock to keep the COVID away!
OPEN 12-9PM everyday!
FEEL THAT NEED TO NERD!

#myheroacademiamemes… https://t.co/Ht6ivZyIRt",Florida
"First sit down breakfast in a while, suck it Covid. @ Cleavers https://t.co/gAHBrf1I5Q",Indiana
"@niemanmusic release his new album  to raise money for efforts that support both #BlackLivesMatter movements &amp; #COVID19 relief exclusively on bandcamp. He says, “As a Filipino that both participates and benefits… https://t.co/dY7t3hZ4fv",California
"@leeorwild curated ‘Hands’ with 100% of proceeds going to the COVID19 protest relief fund. //
The protest relief fund was created to provide testing, medical treatment, bail relief, court expenses and hospital… https://t.co/iGGuyr6q7a",New York
"#phase1 #nyc #newyorkstateofmind #iloveny #coronavirus #line #supermarket #boardedup #stores #wereallinthistogether #staypositive #newyorkcity 
This is what phase 1 looks like on the #uppereastside #ues Not much has… https://t.co/K0jWIVkYrz",New York
"IT'S HERE!! The video for FAST &amp; FURIOUS SHRIMP FRIED RICE has been published to youtube! 🍤🍚
Check out my channel DAY'S COVID KITCHEN and subscribe! 🛎

https://t.co/u4MnpIVF62
(Link… https://t.co/MPobjIsmpS",Georgia
"Shout out to all of my fellow “Healthcare Superheroes” out there doing their thing before &amp; during this pandemic, &amp; a HUGE s/o to my Mom V-Rock for gifting me these DOPE socks!! 🦸🏾‍♂️🦹🏼‍♀️🦸🏽‍♀️ @ Hazlet, New Jersey https://t.co/wPFCteM1iL",New Jersey
Everyday a new low. https://t.co/yb3sVjUCw3,Washington
@phillylgbtgov released an open letter to Philly's LGBTQ+ communities and allies regarding 2020 Prode celebrations in the wake of COVID-19 and civil unrest in response to police violence. Read more at their website:… https://t.co/020m7kj5d2,Pennsylvania
