,tweet,tweet,location,Unnamed: 0.1,Confirmed
140,little easter fun morning boy easter easteregghunt confetti corona tucson arizona,,,,
141,tucson corona holidazapocalypse proper roble pas,,,,
142,philly man wearing face mask dragged philadelphia bus handled it bbbb corona stayhome quarantine quarantineandchill philadelphia pennsylvania,,,,
143,nation groove stayinghome funk alonetogether onenation corona pennsylvania,,,,
144,nation groove stayinghome funk alonetogether da corona covid nineteen pennsylvania,,,,
145,4yr old fetched beer it ' good day 'll remember forever happy easter easter2020 victoriasway corona quarantine badstreet philadelphia pa,,,,
146,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
147,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
148,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
149,corona ny sun apr 12th forecast today cloudy hi forty-five tonight partly cloudy lo thirty-one,,,,
150,happy easter everyone easter happyeaster quarantine corona virus abnormalattraction comedy getfuzzy stayhome staysafe bobbypriv leavs16 new york new york,,,,
151,went bit walk million podcasts flushing meadow corona park,,,,
152,fresh air park artmuseum corona art covid nineteen outside staysafe nassau county museum art,,,,
153,visiting usp alcatraz bought harmonica knowing entertain son much keepinghimbusy uspalcatraz harmonica corona new york,,,,
154,corona ny sun apr 12th pm forecast tonight partly cloudy lo thirty-one saturday sunny hi forty-one,,,,
155,goodbye twenty-one wow happy 22nd birthday ryan coronabeer lunch home best corona still delivering delicious food is dessert actually food manhattan love you manhattan new york,,,,
156,corona girl westminster massachusetts,,,,
157,easter breakfast quarantine corona easter indian fishin ' lake,,,,
158,bringing outdoors inside since know corona happyeaster corona forsythia hyacinth flower flowersinstagram lincoln rhode island,,,,
159,sign time corona coronavirus mask bikeride denver colorado cherry creek trail,,,,
160,two thousand and twenty easter got like happy easter friend better time ahead covid19 corona quarantinelife quarantined ormond beach florida,,,,
161,adventure corona donkey easter two thousand and twenty boxcrafts corona stayhome easter fort lauderdale florida,,,,
162,four twelve two thousand and twenty jesus paid all owe happy corona easter family yours mount dora florida,,,,
163,easter two thousand and twenty mahi tuna brussel sprout wine corona parkland florida,,,,
164,easter two thousand and twenty safe people play safe amp stay home this corona virus real dont forget true meaning easter quarantine easter2020 stayhome heisrisen little fall new jersey,,,,
165,covid19 corona two thousand and twenty quarantine stayhome stayhealthy charlotte north carolina,,,,
166,nation groove stayinghome funk alonetogether da corona covid nineteen north carolina,,,,
167,easter lamp chop easter corona lambchop fhjerk island vybes kitchen fh jerk,,,,
168,celebrating easter corona virus style lakeview east chicago,,,,
169,don ' judge me champagne taste beer pocket book home beer corona heineken redstripe greenmount guilford greenacresinguilford eastersunday easter easterbunny green acre guilford,,,,
170,hotnigga entrepreneur baltimore maskup stayhome quarantine betterlife corona mask maryland livesmart thebestatit baltimore maryland,,,,
171,family yours risen easter heisrisen resurrectionday covid corona quarantine montana,,,,
172,`` my latest post ' utilitypole rust green staple corona pixel3xl pixel iger instagram gram nature new orleans louisiana,,,,
173,corona blue jazz funk rnb grownfolkmusic smithsonian national museum african american history culture,,,,
174,happy easter redeemer life easter easterdecor easterathome corona prospecthillinn quarantinelife tablescapechallenge prospect hill inn amp restaurant,,,,
175,sure missing baseball thank firelands athletic booster seniors2020 baseball corona nothowthiswassupposedtogo firelands high school,,,,
176,livestreammusic frankb attempting show corona rock folk,,,,
177,corona djtsalt djtsaltt tiktokdance memphis tennessee,,,,
178,talking hand good know trust real wilson corona castaway tomhanks solo trust conversation atlanta georgia,,,,
179,mask llalladesigns sewing corona handcrafted embroidery pfaff projectbags pompoms domore2020 graceandkindness mask stayhome lla lla design,,,,
180,coronaressurection stayhome homesweethome lockdown staycation corona covid holy land,,,,
181,april2020 stayhome corona covid19 texana plantation richmond,,,,
182,tweet,,,,
183,covid nineteen corona virus style everett washington,,,,
184,corona virus got like bandana misterbandana wildwildwest maskedman coronatimes coronavirusgotmelike crazytown safe gulf shore alabama,,,,
185,sign postbrand ad lajolla california corona la jolla,,,,
186,corona got world like atreyu fighting nothing san diego california,,,,
187,corona ca sun apr 12th forecast today chance shower hi sixty-two tonight chance shower lo fifty,,,,
188,resurrection life john eleven twenty-five corona california,,,,
189,easter flower brighten house happy easter flower flower daffodil tulip easter home corona california,,,,
190,rocky stair corona del mar state beach,,,,
191,happy easter familia friend thank god blessed day have happyeaster2020 familiaarmas armasfamily chiltonohana corona california,,,,
192,visit easter bunny today corona california,,,,
193,content iparkmusic oobang love family fun hope love smile corona coronavirus ipark music co,,,,
194,grandma aunt stuffed celery pimento cheese jar added spring radish kosher salt side corona california,,,,
195,corona ca sun apr 12th pm forecast tonight chance shower lo forty-eight monday chance shower hi sixty-four,,,,
196,glazed easter ham baby carrot roasted asparagus parmesan corona california,,,,
197,posted photo corona california,,,,
198,lem me yours corona easter2020 outfit los angeles california,,,,
199,potato latke topped homemade applesauce latkas potato applesauce homecooking easterdinner easter food corona california,,,,
200,friday night rona corona flagstaff orpheumtheatre arizona blackandwhite photography amateurphotography friday stayhome stayhealthy staysafe flagstaff arizona,,,,
201,little easter fun morning boy easter easteregghunt confetti corona tucson arizona,,,,
202,tucson corona holidazapocalypse proper roble pas,,,,
203,philly man wearing face mask dragged philadelphia bus handled it bbbb corona stayhome quarantine quarantineandchill philadelphia pennsylvania,,,,
204,nation groove stayinghome funk alonetogether onenation corona pennsylvania,,,,
205,nation groove stayinghome funk alonetogether da corona covid nineteen pennsylvania,,,,
